main_genre,sub_genre,artist_name
Alternative Metal,Alternative Metal,Faith No More
Alternative Metal,Alternative Metal,Helmet
Alternative Metal,Alternative Metal,TOOL
Alternative Metal,Alternative Metal,Godsmack
Alternative Metal,Alternative Metal,System Of A Down
Alternative Metal,Alternative Metal,Deftones
Alternative Metal,Alternative Metal,Evanescence
Alternative Metal,Alternative Metal,Kittie
Alternative Metal,Funk Metal,Red Hot Chili Peppers
Alternative Metal,Funk Metal,Fishbone
Alternative Metal,Funk Metal,Living Colour
Alternative Metal,Funk Metal,Infectious Grooves
Alternative Metal,Funk Metal,Primus
Alternative Metal,Funk Metal,Rage Against the Machine
Alternative Metal,Funk Metal,Mordred
Alternative Metal,Nu Metal,Korn
Alternative Metal,Nu Metal,Limp Bizkit
Alternative Metal,Nu Metal,Linkin Park
Alternative Metal,Nu Metal,Slipknot
Alternative Metal,Nu Metal,Papa Roach
Alternative Metal,Nu Metal,Disturbed
Alternative Metal,Nu Metal,Mudvayne
Alternative Metal,Nu Metal,Biohazard
Alternative Metal,Nu Metal,Coal Chamber
Alternative Metal,Rap Metal,Crazy Town
Alternative Metal,Rap Metal,Clawfinger
Alternative Metal,Rap Metal,Stuck Mojo
Alternative Metal,Rap Metal,Skindred
Alternative Metal,Rap Metal,Rage Against the Machine
Avantgarde Metal,Avantgarde Metal,Boris
Avantgarde Metal,Avantgarde Metal,Celtic Frost
Avantgarde Metal,Avantgarde Metal,Earth
Avantgarde Metal,Avantgarde Metal,Helmet
Avantgarde Metal,Avantgarde Metal,Maudlin of the Well
Avantgarde Metal,Avantgarde Metal,Neurosis
Avantgarde Metal,Avantgarde Metal,sunn O)))
Avantgarde Metal,Avantgarde Metal,Voivod
Black Metal,1st Wave of Black Metal,Venom
Black Metal,1st Wave of Black Metal,Bathory
Black Metal,1st Wave of Black Metal,Mercyful Fate
Black Metal,1st Wave of Black Metal,Hellhammer
Black Metal,1st Wave of Black Metal,Celtic Frost
Black Metal,2nd Wave of Black Metal,Mayhem
Black Metal,2nd Wave of Black Metal,Burzum
Black Metal,2nd Wave of Black Metal,Darkthrone
Black Metal,2nd Wave of Black Metal,Immortal
Black Metal,2nd Wave of Black Metal,Emperor
Black Metal,Symphonic Black Metal,Carach Angren
Black Metal,Symphonic Black Metal,Emperor
Black Metal,Symphonic Black Metal,Dimmu Borgir
Black Metal,Viking Metal,Bathory
Black Metal,Viking Metal,Enslaved
Black Metal,Viking Metal,Burzum
Black Metal,Viking Metal,Emperor
Black Metal,Viking Metal,Storm
Black Metal,Viking Metal,Falkenbach
Black Metal,Viking Metal,Thyrfing
Black Metal,War Metal,Blasphemy
Black Metal,War Metal,Archgoat
